Skenario,Bobot LLM,Bobot Cosine,Raw LLM,Raw Cosine,Final Score,Skor Pakar,Error
Skenario A (Logika Benar tapi Bahasa Tidak Formal),100%,0%,60,31,60,85,25
Skenario A (Logika Benar tapi Bahasa Tidak Formal),90%,10%,60,31,57,85,28
Skenario A (Logika Benar tapi Bahasa Tidak Formal),80%,20%,60,31,54,85,31
Skenario A (Logika Benar tapi Bahasa Tidak Formal),70%,30%,60,31,51,85,34
Skenario A (Logika Benar tapi Bahasa Tidak Formal),60%,40%,60,31,48,85,37
Skenario A (Logika Benar tapi Bahasa Tidak Formal),50%,50%,60,31,46,85,39
Skenario A (Logika Benar tapi Bahasa Tidak Formal),40%,60%,60,31,43,85,42
Skenario A (Logika Benar tapi Bahasa Tidak Formal),30%,70%,60,31,40,85,45
Skenario A (Logika Benar tapi Bahasa Tidak Formal),20%,80%,60,31,37,85,48
Skenario A (Logika Benar tapi Bahasa Tidak Formal),10%,90%,60,31,34,85,51
Skenario A (Logika Benar tapi Bahasa Tidak Formal),0%,100%,60,31,31,85,54
Skenario B (Kata Kunci Ada tapi Tidak Memahami Konsep),100%,0%,20,88,20,30,10
Skenario B (Kata Kunci Ada tapi Tidak Memahami Konsep),90%,10%,20,88,27,30,3
Skenario B (Kata Kunci Ada tapi Tidak Memahami Konsep),80%,20%,20,88,34,30,4
Skenario B (Kata Kunci Ada tapi Tidak Memahami Konsep),70%,30%,20,88,40,30,10
Skenario B (Kata Kunci Ada tapi Tidak Memahami Konsep),60%,40%,20,88,47,30,17
Skenario B (Kata Kunci Ada tapi Tidak Memahami Konsep),50%,50%,20,88,54,30,24
Skenario B (Kata Kunci Ada tapi Tidak Memahami Konsep),40%,60%,20,88,61,30,31
Skenario B (Kata Kunci Ada tapi Tidak Memahami Konsep),30%,70%,20,88,68,30,38
Skenario B (Kata Kunci Ada tapi Tidak Memahami Konsep),20%,80%,20,88,74,30,44
Skenario B (Kata Kunci Ada tapi Tidak Memahami Konsep),10%,90%,20,88,81,30,51
Skenario B (Kata Kunci Ada tapi Tidak Memahami Konsep),0%,100%,20,88,88,30,58
Skenario C (Jawaban Sempurna / Sesuai Textbook),100%,0%,90,98,90,95,5
Skenario C (Jawaban Sempurna / Sesuai Textbook),90%,10%,90,98,91,95,4
Skenario C (Jawaban Sempurna / Sesuai Textbook),80%,20%,90,98,92,95,3
Skenario C (Jawaban Sempurna / Sesuai Textbook),70%,30%,90,98,92,95,3
Skenario C (Jawaban Sempurna / Sesuai Textbook),60%,40%,90,98,93,95,2
Skenario C (Jawaban Sempurna / Sesuai Textbook),50%,50%,90,98,94,95,1
Skenario C (Jawaban Sempurna / Sesuai Textbook),40%,60%,90,98,95,95,0
Skenario C (Jawaban Sempurna / Sesuai Textbook),30%,70%,90,98,96,95,1
Skenario C (Jawaban Sempurna / Sesuai Textbook),20%,80%,90,98,96,95,1
Skenario C (Jawaban Sempurna / Sesuai Textbook),10%,90%,90,98,97,95,2
Skenario C (Jawaban Sempurna / Sesuai Textbook),0%,100%,90,98,98,95,3
Skenario D (Salah Total / Halusinasi),100%,0%,0,76,0,10,10
Skenario D (Salah Total / Halusinasi),90%,10%,0,76,8,10,2
Skenario D (Salah Total / Halusinasi),80%,20%,0,76,15,10,5
Skenario D (Salah Total / Halusinasi),70%,30%,0,76,23,10,13
Skenario D (Salah Total / Halusinasi),60%,40%,0,76,30,10,20
Skenario D (Salah Total / Halusinasi),50%,50%,0,76,38,10,28
Skenario D (Salah Total / Halusinasi),40%,60%,0,76,46,10,36
Skenario D (Salah Total / Halusinasi),30%,70%,0,76,53,10,43
Skenario D (Salah Total / Halusinasi),20%,80%,0,76,61,10,51
Skenario D (Salah Total / Halusinasi),10%,90%,0,76,68,10,58
Skenario D (Salah Total / Halusinasi),0%,100%,0,76,76,10,66
